code_zone_geo;zone_geographique;annee;code_type_org;type_d_organisme;code_indicateur;indicateur;code_type_pers;type_de_personnel;secret;non_disponible;etat_des_donnees;valeur
03;Guyane;2013;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;oui;non;semi-définitif;
03;Guyane;2013;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;semi-définitif;
04;La Réunion;2002;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
04;La Réunion;2011;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
04;La Réunion;2012;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
07;Régions d'outre-mer;2001;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
07;Régions d'outre-mer;2005;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;1189.86
07;Régions d'outre-mer;2012;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;241.55
07;Régions d'outre-mer;2013;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;semi-définitif;2446.98
100;France;2009;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;387569.81
01;Guadeloupe;2006;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
01;Guadeloupe;2008;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;oui;non;définitif;
01;Guadeloupe;2009;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
02;Martinique;2001;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
02;Martinique;2008;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;oui;non;définitif;
02;Martinique;2009;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;oui;non;définitif;
02;Martinique;2009;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
02;Martinique;2011;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
02;Martinique;2012;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
02;Martinique;2013;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;semi-définitif;22.18
03;Guyane;2003;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
03;Guyane;2003;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
03;Guyane;2004;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;oui;non;définitif;
03;Guyane;2004;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
06;Mayotte;2011;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;0.61
07;Régions d'outre-mer;2001;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
07;Régions d'outre-mer;2011;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;2478.3
100;France;2005;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;154690.4
100;France;2007;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;124576.91
100;France;2009;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;161678.97
100;France;2009;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;225890.84
100;France;2012;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;411779.99
100;France;2013;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;semi-définitif;47480.45
11;Île-de-France;2009;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;55609.38
11;Île-de-France;2013;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;semi-définitif;28823.24
21;Champagne-Ardenne;2001;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;594.92
21;Champagne-Ardenne;2002;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;614.37
21;Champagne-Ardenne;2005;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;1393.58
21;Champagne-Ardenne;2006;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;1421.84
21;Champagne-Ardenne;2008;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;2234.46
21;Champagne-Ardenne;2010;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;1294.73
22;Picardie;2006;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;373.7
22;Picardie;2008;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;94.11
22;Picardie;2010;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;2043.94
