code_region;region;annee;code_indicateur;indicateur;code_type_uai;type_d_administration;code_sexe;sexe;code_type_pers;type_de_personnel;etat_des_donnees;valeur
52;Pays de la Loire;2009;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;definitif;88.8
52;Pays de la Loire;2010;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;235.18
52;Pays de la Loire;2010;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;1;Chercheurs;definitif;1.0
52;Pays de la Loire;2011;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;2;Soutien a  la recherche;definitif;0.12
52;Pays de la Loire;2012;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;2;Soutien a  la recherche;definitif;0.01
52;Pays de la Loire;2013;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;semi-definitif;262.83
52;Pays de la Loire;2013;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;semi-definitif;100.45
53;Bretagne;2002;pers;Effectifs de R&D;4;Autres administrations;3;Non ventile;2;Soutien a  la recherche;definitif;19.65
53;Bretagne;2005;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;203.45
53;Bretagne;2007;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;1;Chercheurs;definitif;1633.1
53;Bretagne;2007;pers;Effectifs de R&D;2;EPST;1;Hommes;1;Chercheurs;definitif;719.72
53;Bretagne;2008;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;256.6
53;Bretagne;2008;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;1;Chercheurs;definitif;138.17
53;Bretagne;2010;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;1;Chercheurs;definitif;4.43
54;Poitou-Charentes;2012;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;66.6
54;Poitou-Charentes;2012;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;161.66
72;Aquitaine;2002;pers;Effectifs de R&D;2;EPST;1;Hommes;1;Chercheurs;definitif;648.8
72;Aquitaine;2003;dird;Depense interieure de R&D;4;Autres administrations;;;;;definitif;4.18
72;Aquitaine;2006;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;2;Soutien a  la recherche;definitif;19.7
72;Aquitaine;2007;dird;Depense interieure de R&D;4;Autres administrations;;;;;definitif;3.9699999999999998
72;Aquitaine;2008;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;definitif;14.21
72;Aquitaine;2008;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;1;Chercheurs;definitif;2.61
72;Aquitaine;2009;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;definitif;538.32
72;Aquitaine;2009;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;definitif;5.72
73;Midi-Pyrenees;2002;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;definitif;299.0
91;Languedoc-Roussillon;2007;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;1;Chercheurs;definitif;1.8900000000000001
91;Languedoc-Roussillon;2008;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;195.02
91;Languedoc-Roussillon;2008;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;1;Chercheurs;definitif;235.4
91;Languedoc-Roussillon;2013;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;semi-definitif;760.34
93;Provence-Alpes-Cote d'Azur;2001;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;1;Chercheurs;definitif;5.6
93;Provence-Alpes-Cote d'Azur;2002;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;1023.0
93;Provence-Alpes-Cote d'Azur;2002;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;933.0
93;Provence-Alpes-Cote d'Azur;2005;pers;Effectifs de R&D;4;Autres administrations;3;Non ventile;1;Chercheurs;definitif;119.12
93;Provence-Alpes-Cote d'Azur;2006;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;2;Soutien a  la recherche;definitif;2.6
93;Provence-Alpes-Cote d'Azur;2006;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;853.64
93;Provence-Alpes-Cote d'Azur;2007;dird;Depense interieure de R&D;2;EPST;;;;;definitif;299.15
93;Provence-Alpes-Cote d'Azur;2008;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;2;Soutien a  la recherche;definitif;2.8
93;Provence-Alpes-Cote d'Azur;2011;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;411.87
93;Provence-Alpes-Cote d'Azur;2012;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;definitif;1179.15
93;Provence-Alpes-Cote d'Azur;2013;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;1;Chercheurs;semi-definitif;27.65
94;Corse;2002;pers;Effectifs de R&D;3;EPIC et assimiles;3;Non ventile;1;Chercheurs;definitif;1.0
94;Corse;2006;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;2.0
